Origin,Origin_Code,Destination,Destination_Code,Date_accessed,Departure_Gap,Departure_Date,Departure_Day,Departure_time,Arrival_time,Duration,Changes,Price,Fare_Route_Description,Fare_Provider,TOC_Name,TOC_Provider,Ticket_type,nre_fare_category
Doncaster,DON,London Kings Cross,KGX,20190712_13-24,2,14/07/19,Sunday,14:39,16:36,1:57,0,81.5,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (1st Class),RESTRICTED
Doncaster,DON,London Kings Cross,KGX,20190712_13-24,2,14/07/19,Sunday,15:27,17:10,1:43,0,81.5,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (1st Class),RESTRICTED
Doncaster,DON,London Kings Cross,KGX,20190712_13-24,8,20/07/19,Saturday,14:25,16:09,1:44,0,19.5,Only valid on booked Hull Trains services.,Hull Trains,Hull Trains,Hull Trains,Advance (Standard Class),RESTRICTED
Doncaster,DON,London Kings Cross,KGX,20190712_13-24,8,20/07/19,Saturday,14:25,16:09,1:44,0,19.5,Only valid on booked Hull Trains services.,Hull Trains,Hull Trains,Hull Trains,Advance (Standard Class),RESTRICTED
Doncaster,DON,London Kings Cross,KGX,20190712_13-24,31,12/08/19,Monday,07:14,08:51,1:37,0,83.0,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
Doncaster,DON,London Kings Cross,KGX,20190712_13-24,31,12/08/19,Monday,07:14,08:51,1:37,0,83.0,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
Doncaster,DON,London Kings Cross,KGX,20190712_13-24,31,12/08/19,Monday,07:47,09:31,1:44,0,83.0,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
Doncaster,DON,London Kings Cross,KGX,20190712_13-24,31,12/08/19,Monday,08:31,10:09,1:38,0,37.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
Grantham,GRA,London Kings Cross,KGX,20190712_13-24,2,14/07/19,Sunday,14:20,15:36,1:16,0,45.5,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (1st Class),RESTRICTED
Grantham,GRA,London Kings Cross,KGX,20190712_13-24,2,14/07/19,Sunday,14:12,15:23,1:11,0,41.0,Valid only on Hull Trains services.,Hull Trains,Hull Trains,Hull Trains,Off-Peak Day Single,FLEXIBLE
Grantham,GRA,London Kings Cross,KGX,20190712_13-24,8,20/07/19,Saturday,14:18,15:31,1:13,0,15.5,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
Grantham,GRA,London Kings Cross,KGX,20190712_13-24,8,20/07/19,Saturday,15:01,16:09,1:8,0,14.5,Only valid on booked Hull Trains services.,Hull Trains,Hull Trains,Hull Trains,Advance (Standard Class),RESTRICTED
Grantham,GRA,London Kings Cross,KGX,20190712_13-24,31,12/08/19,Monday,07:26,08:40,1:14,0,62.0,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
